transaction_id,account_id,date,type,amount
1,1158,2024-08-22,Withdrawal,2262.8
2,1146,2023-03-28,Withdrawal,25149.83
3,1002,2023-10-23,Withdrawal,27931.4
4,1077,2022-04-14,Withdrawal,28162.62
5,1132,2024-01-25,Withdrawal,35498.04
6,1090,2023-04-07,Withdrawal,9285.35
7,1263,2024-01-13,Deposit,12985.05
8,1108,2024-09-17,Withdrawal,40631.16
9,1074,2023-12-19,Withdrawal,47384.95
10,1039,2023-12-11,Deposit,7228.67
11,1159,2023-01-31,Withdrawal,25133.65
12,1071,2024-06-30,Deposit,11101.72
13,1241,2022-12-03,Withdrawal,3473.62
14,1298,2023-08-22,Deposit,16612.42
15,1036,2022-05-22,Withdrawal,7612.54
16,1084,2022-11-13,Deposit,35641.69
17,1263,2023-12-12,Withdrawal,26919.41
18,1172,2023-07-12,Deposit,7619.81
19,1173,2024-03-10,Deposit,957.46
20,1047,2023-06-11,Deposit,40503.77
21,1141,2023-07-10,Withdrawal,9221.62
22,1118,2023-02-05,Deposit,30507.72
23,1277,2023-11-12,Deposit,17177.63
24,1214,2022-11-06,Withdrawal,29481.55
25,1220,2023-05-10,Deposit,16124.85
26,1026,2023-07-10,Withdrawal,4803.51
27,1009,2023-09-02,Deposit,11536.03
28,1271,2024-02-12,Withdrawal,9808.9
29,1010,2022-04-19,Deposit,21686.96
30,1121,2024-03-05,Deposit,33085.05
31,1125,2023-01-07,Withdrawal,13558.4
32,1170,2024-05-04,Withdrawal,1097.46
33,1072,2023-09-08,Withdrawal,26187.4
34,1152,2024-02-07,Deposit,30485.09
35,1208,2024-06-09,Deposit,48162.09
36,1049,2022-07-25,Deposit,29678.8
37,1154,2024-04-26,Withdrawal,23823.04
38,1293,2022-02-12,Deposit,28883.38
39,1068,2024-05-14,Deposit,46431.08
40,1050,2022-09-02,Deposit,41504.72
41,1152,2022-10-14,Withdrawal,16487.45
42,1019,2022-12-21,Deposit,12244.09
43,1100,2024-02-24,Withdrawal,13500.36
44,1060,2023-04-21,Deposit,25468.84
45,1167,2022-03-24,Withdrawal,37330.45
46,1202,2022-04-20,Deposit,25409.35
47,1146,2024-08-07,Withdrawal,3855.92
48,1164,2022-07-09,Withdrawal,36317.24
49,1242,2024-09-09,Deposit,40395.52
50,1069,2024-03-10,Withdrawal,14830.14
51,1175,2024-07-24,Deposit,33374.22
52,1049,2024-06-27,Withdrawal,21616.3
53,1108,2022-09-08,Withdrawal,44511.41
54,1226,2023-12-25,Deposit,42338.67
55,1161,2022-10-18,Deposit,26508.88
56,1119,2023-10-07,Deposit,34729.52
57,1149,2022-07-20,Deposit,44225.81
58,1150,2024-03-07,Deposit,25037.99
59,1293,2022-11-22,Deposit,16005.91
60,1143,2023-05-26,Deposit,37806.47
61,1160,2023-02-13,Withdrawal,11393.28
62,1011,2023-08-30,Deposit,19732.29
63,1138,2024-02-29,Deposit,43353.5
64,1078,2024-08-19,Withdrawal,36358.91
65,1077,2024-07-29,Deposit,20488.64
66,1254,2024-04-16,Deposit,11129.85
67,1258,2023-05-23,Deposit,18120.44
68,1291,2024-01-01,Withdrawal,14563.16
69,1263,2023-08-24,Withdrawal,9216.42
70,1085,2022-03-13,Deposit,37294.98
71,1146,2022-09-04,Withdrawal,12977.46
72,1042,2023-10-03,Deposit,22981.29
73,1125,2023-12-25,Withdrawal,19600.04
74,1167,2024-07-28,Withdrawal,49112.83
75,1241,2024-05-04,Withdrawal,19859.07
76,1280,2023-08-31,Deposit,4459.13
77,1188,2023-08-10,Deposit,4946.37
78,1019,2024-07-23,Deposit,29742.31
79,1068,2023-07-20,Withdrawal,30168.5
80,1218,2022-12-10,Withdrawal,21228.57
81,1102,2024-08-28,Withdrawal,21876.26
82,1042,2024-07-13,Withdrawal,3169.66
83,1288,2022-02-23,Deposit,26069.05
84,1167,2023-12-31,Withdrawal,25484.6
85,1109,2023-06-12,Withdrawal,7902.69
86,1036,2023-09-03,Withdrawal,5640.05
87,1232,2023-06-16,Withdrawal,6616.84
88,1229,2023-07-12,Withdrawal,5500.9
89,1164,2024-08-20,Deposit,30680.56
90,1073,2022-07-12,Withdrawal,10225.89
91,1136,2024-06-13,Deposit,12945.79
92,1070,2022-02-27,Withdrawal,9091.82
93,1196,2023-03-13,Withdrawal,47912.85
94,1269,2022-04-21,Deposit,42803.56
95,1049,2022-05-09,Withdrawal,11909.49
96,1130,2024-04-28,Deposit,16714.53
97,1005,2023-12-07,Deposit,10889.7
98,1027,2024-07-13,Deposit,24847.86
99,1160,2024-05-01,Withdrawal,1470.72
100,1149,2022-11-22,Withdrawal,33732.72
101,1264,2022-01-08,Withdrawal,26396.33
102,1230,2022-01-29,Deposit,44982.63
103,1200,2022-04-22,Withdrawal,8637.44
104,1050,2024-08-04,Withdrawal,40303.41
105,1067,2023-11-04,Deposit,39702.07
106,1300,2022-05-11,Deposit,6795.47
107,1058,2022-07-07,Deposit,20228.68
108,1259,2023-11-06,Withdrawal,8922.56
109,1130,2023-12-10,Withdrawal,13108.66
110,1215,2023-04-20,Withdrawal,13530.69
111,1172,2022-12-30,Deposit,28033.7
112,1258,2022-07-23,Withdrawal,20864.84
113,1102,2022-07-31,Deposit,47412.77
114,1209,2023-09-13,Deposit,6755.32
115,1291,2022-10-03,Withdrawal,48697.76
116,1286,2022-03-14,Deposit,11916.61
117,1116,2023-11-10,Withdrawal,38757.26
118,1264,2024-02-11,Deposit,17279.01
119,1150,2022-08-31,Withdrawal,7582.53
120,1300,2024-02-26,Deposit,42965.51
121,1036,2022-04-12,Withdrawal,15788.61
122,1287,2024-09-13,Deposit,33113.34
123,1208,2023-11-16,Deposit,28538.96
124,1106,2022-06-20,Withdrawal,23851.94
125,1158,2023-10-15,Deposit,25043.06
126,1121,2024-06-27,Withdrawal,36745.78
127,1055,2022-07-07,Withdrawal,4844.76
128,1012,2023-03-17,Deposit,33574.94
129,1145,2022-03-27,Deposit,44842.7
130,1136,2023-04-21,Withdrawal,3360.52
131,1003,2022-02-21,Withdrawal,7462.34
132,1144,2022-04-21,Withdrawal,35973.28
133,1030,2024-08-06,Deposit,22145.44
134,1237,2024-05-26,Withdrawal,20475.66
135,1279,2024-05-03,Deposit,7279.85
136,1115,2022-02-12,Withdrawal,25585.12
137,1104,2022-07-30,Withdrawal,6763.99
138,1118,2024-08-25,Deposit,24092.71
139,1005,2022-07-19,Deposit,38298.96
140,1248,2024-03-20,Deposit,13284.09
141,1121,2024-05-07,Deposit,24298.92
142,1286,2024-01-22,Withdrawal,49604.79
